category_id,nome
cat-streamings,Streamings
cat-netflix,Netflix
cat-meli,Meli+
cat-crunchyroll,Crunchyroll
cat-jus-brasil,Jus Brasil
cat-apartamento,Apartamento
cat-seguro-residencial,Seguro residêncial
cat-carro,Carro
cat-fies,FIES
cat-moveis-planejados,Móveis planejados
cat-salario-de-mae,Salário de mãe
cat-academia,Academia
cat-seguro-do-carro,Seguro do carro
cat-hormonios,Hormônios
cat-internet,Internet
cat-condominio,Condôminio
cat-cemig-metha,CEMIG/Metha
cat-viagem-para-caldas-novas,Viagem para Caldas Novas
cat-remedios-pos-operatorio,Remédios pós operatório
cat-material-de-construcao-1,Material de construção (1)
cat-material-de-construcao-2,Material de construção (2)
cat-material-de-construcao-3,Material de construção (3)
cat-rebaixamento-com-iluminacao,Rebaixamento com iluminação
cat-interruptores,Interruptores
cat-fechadura-eletronica,Fechadura eletronica
cat-presentes,Presentes
cat-iogurtes,Iogurtes
cat-passagem-de-aviao,Passagem de aviao
cat-cuba-e-ralo-clique,Cuba e ralo clique
cat-tapete,Tapete
cat-panelas,Panelas
cat-ar-condicionado,Ar condicionado
cat-luminaria-e-assento-sanitario,Luminária e assento sanitário
cat-forno,Forno
cat-potes-e-borrifadores,Potes e borrifadores
cat-viagem-para-sao-paulo,Viagem para São Paulo
cat-tratamento-estetico,Tratamento estético
cat-aparelho-para-inflamacao-na-articulacao,Aparelho para inflamação na articulação
cat-tratamento-paozin-1,Tratamento Pãozin (1)
cat-tratamento-paozin-2,Tratamento Pãozin (2)
cat-tratamento-paozin-3,Tratamento Pãozin (3)
cat-mouse-vertical,Mouse vertical
cat-ventilador,Ventilador
cat-monitor-secundario,Monitor secundário
cat-leque-de-direcao-carro,Leque de direção (carro)
cat-caixa-termica,Caixa térmica
cat-fonte-carregadora,Fonte carregadora
cat-kit-depilador,Kit depilador
cat-roupas-do-reveilon,Roupas do reveilon
cat-2x-kvm,2x KVM
cat-perfume-sanduicheira-vaporizador-limpa-telas-paleta-de-sombra,"Perfume, sanduicheira, vaporizador, limpa telas, paleta de sombra"
cat-jaquetas-de-inverno,Jaquetas de inverno
cat-ingles,Inglês
cat-amazon,Amazon
cat-cronograma-capilar,Cronograma capilar
cat-posteres,Posteres
cat-presente-de-aniversario-de-mae,Presente de aniversário de mãe
cat-papel-de-parede-liquido,Papel de parede liquido
cat-lixeiras-automaticas,Lixeiras automáticas
cat-nicho-dos-gatos-e-teclado,Nicho dos gatos e teclado
cat-rimuru-de-pelucia-roupa-para-os-gatos,Rimuru de pelucia + roupa para os gatos
cat-desodorantes-lightnovel-skin-care,"Desodorantes, lightnovel, skin care"
